temp,rh,rain
-7.6,48,0
-3.6,76.4,1.4
-6.8,49.3,0
-5.9,84.1,14.2
-9.9,66.4,0
-11.2,65.5,0
-10.1,66.8,0
-8,67.4,0
-5.1,75.8,0.4
-3.4,79.1,0
-5.2,75.1,0
-10.3,52.1,0
-13.2,53.4,0
-9.1,55.8,0
-5,65.1,0.3
-6.4,52.5,0
-4,61,0
-0.5,69.6,0
2.7,72.1,3
5.8,96.5,7
-4.1,60.8,0.5
-7,47.3,0
-5.3,46.4,0
0.3,66.6,0
-3,52.4,0
-4.1,53.1,0
-0.2,72.6,2.5
-0.4,68.1,0
-2.1,55.1,0
1.5,67.4,0
1.8,82.4,0
0.8,71.6,0
-6.2,29.6,0
-8,37.1,0
-4.3,50.3,0
-5.5,34.5,0
-4.7,36.6,0
0.7,31.3,0
4,47.9,0
3.7,87.4,12
3.9,80.3,2
0.6,84.4,10.5
-0.3,82,0.3
-2.3,69.8,1.3
-2.2,47.3,0
-3.1,49.9,0
-4.5,44.6,0
-3.2,52,0.2
-2.9,55.9,2.5
-1,54.5,0
3,65.3,0
4.8,57.1,0
6.5,66.8,0
8.2,50.5,0
12.2,47.9,0
12,91.3,26.5
12,73.1,0
8.6,65.6,0
6.8,74.4,0
2.9,78.9,17
2.7,72.6,0
4.4,54.5,0
5.5,71.9,1.5
6.4,69.8,0.3
6,55.4,0
4.9,49.3,0
4.1,46.8,0
1.5,68.1,14
-1.4,82.4,7.1
2.3,62.8,0
5.8,63,0
2.4,30.5,0
7.2,46.8,7
7.9,74.4,12.5
0.7,37.6,0
-0.1,54.5,1
0.5,53,0
4.5,46,0
6.8,70.5,0.2
2.7,46.1,0
2.1,80.6,9.9
5.9,67.9,0
8.7,50.3,0
5,47.1,2.5
2,46.8,0
5.4,74,0
4.1,47.3,0
5.8,35.6,0
8.3,50.1,0
7.3,84.9,9.5
7,74.3,1
5.5,43.1,0
5,30.1,0
7.7,38.9,0
10.4,59.9,0
8.5,52.9,0
7.3,39.1,0
9.1,43.5,0
11.4,50.4,0
10.7,62.3,0
13.6,50.8,0.1
13.2,53.6,7
4.4,50.1,1
4,28.8,0
7,34,0
8,39.8,0
7.6,63.4,0
12,54.3,0
14.7,55.6,0.2
16.8,68,0
14.1,69.9,4
10.7,66.9,4.5
9.3,71.4,4
11.1,50.1,0
13.6,33.5,0
12.4,63.4,27
7.5,71.5,4.5
5,77.5,9.5
8.5,62,0
9.6,63.3,0
12.3,49.5,0
17.2,43.4,0
18.2,79.5,0
20.2,70.3,0
20.6,57.5,0
13.4,83.4,18
14.6,52.8,0
16.7,49.9,0
19,45.8,0
16.1,51.1,0.1
12.9,60.4,0.4
13.8,64.5,0
16,54.8,0
18,40.5,0
17,49.4,0
18.2,48,0
20.3,47.9,1
17.3,94.4,59
17.1,82.5,0.5
19.5,65.6,0
22.1,49.8,0
20.1,61.1,5.5
16.1,78,21.5
13.1,93.1,15.5
14.9,85.6,0.5
17.4,60.8,0.5
17.4,53,0
17.3,66.4,0
18.7,63.1,0
18.9,59.4,0
17.3,65.5,1.5
19.1,45,0
21,48.1,0
21.1,57.5,0
22.3,52,0
23.3,50.1,0
24.9,43.6,0
25.4,47,0.2
25.7,34.1,0
26,42.3,0
26.5,46.8,0
25.6,44.3,0
17.9,91.5,71
22,81.3,18
22.8,80.6,10.5
24.4,70.8,0
22.3,75.3,0.5
24,73.1,0
25.9,67.5,0.4
23,79.1,4.5
23,74.9,0
22.2,69,0
21.6,50.8,0
23,53.6,0
24.4,54.8,0
26.7,50.1,0
24.8,59.9,3.5
21.8,85.5,9.5
24.6,67.9,0
23.9,74,0
22.8,81.1,9.5
26.1,72.1,0
24.9,89,58
24.1,88.1,5.5
26.5,72,0
26.1,74.1,0
26,61.6,0
25.6,68,0
24.7,64.6,0.1
24.9,64.4,0.5
25.6,64.6,0
23.8,67.8,0.5
25.1,61.3,0
26.1,67.5,1.5
24.8,74,1
26,67.8,0
23.7,83.4,57
23.2,89.8,89.5
25.9,74,2
26.7,73.3,0
28.2,68.1,0
27.8,68.5,0
27.1,74.3,0.5
24.4,84,4.5
25.6,80,1
26,77.6,0.5
25.4,80.4,16.5
26.9,69.4,0
27,69.6,0
26.8,75.5,0.5
27,74.9,0.1
27,77.3,0
27.5,78.5,0
27.3,77.3,25
27.6,59.4,0
28.1,72.1,16.5
29.2,74.5,0.5
28.3,76.3,3.5
26.2,86.4,83.5
27.3,70.5,0
